petition_uid,should,people,their,government,there,children,would,being,which,public,years,british,referendum,health,these,other,change,allow,after,child
a8d07656,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12517378,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7c1a537f,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b12dd61d,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
c1c3a5d8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
a810c4bf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64885da6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0
847ee8e9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c5df3e5a,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3c4623e3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9f675f71,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
fd03f97c,2,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
22eafd8a,2,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0
7be640fd,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
82dadb2a,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a3c0f806,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
c236aab4,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
377b718a,0,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0
20be2e3d,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1f6c92da,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7faed651,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79ea8043,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48b079a1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fc5bbfd3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6e5575c3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
